"Date","Numberofsubscribers","increament"
22.05.24,121203,+48
21.05.24,121155,+384
20.05.24,120771,+119
19.05.24,120652,+81
18.05.24,120571,-29
17.05.24,120600,-72
16.05.24,120672,-11
15.05.24,120683,+138
14.05.24,120545,+226
13.05.24,120319,+63
13.05.24,120319,+63
12.05.24,120256,+17
11.05.24,120239,+218
10.05.24,120021,+397
09.05.24,119624,+876
08.05.24,118748,+51
07.05.24,118697,+75
06.05.24,118622,+12
05.05.24,118610,+926
04.05.24,117684,+1420
03.05.24,116264,-114
02.05.24,116378,+245
01.05.24,116133,+240
30.04.24,115893,+1203
29.04.24,114690,+667
28.04.24,114023,+19
27.04.24,114004,+20
26.04.24,113984,+225
25.04.24,113759,-99
24.04.24,113858,+72
23.04.24,113786,+103
22.04.24,113683,+97
21.04.24,113586,-152
20.04.24,113738,+11
19.04.24,113727,+98
18.04.24,113629,+76
17.04.24,113553,+25
16.04.24,113528,+140
15.04.24,113388,+223
14.04.24,113165,+106
13.04.24,113059,+12
12.04.24,113047,+83
11.04.24,112964,-29
10.04.24,112993,+87
09.04.24,112906,+382
08.04.24,112524,+321
07.04.24,112203,+165
06.04.24,112038,+204
05.04.24,111834,+160
04.04.24,111674,-20
03.04.24,111694,+243
02.04.24,111451,+444
01.04.24,111007,+307
31.03.24,110700,+84
30.03.24,110616,+132
29.03.24,110484,+217
28.03.24,110267,+316
27.03.24,109951,+565
26.03.24,109386,+376
25.03.24,109010,-52
24.03.24,109062,+88
23.03.24,108974,+200
22.03.24,108774,+177
21.03.24,108597,+312
20.03.24,108285,+405
19.03.24,107880,+486
18.03.24,107394,+926
17.03.24,106468,+1015
16.03.24,105453,+2503
15.03.24,102950,-14
14.03.24,102964,-13
13.03.24,102977,-50
12.03.24,103027,+69
11.03.24,102958,+24
10.03.24,102934,-21
09.03.24,102955,+68
08.03.24,102887,+27
07.03.24,102860,+34
06.03.24,102826,+146
05.03.24,102680,+70
04.03.24,102610,+144
03.03.24,102466,-110
02.03.24,102576,+129
01.03.24,102447,+123
29.02.24,102324,+160
28.02.24,102164,+128
27.02.24,102036,+57
26.02.24,101979,+130
25.02.24,101849,+93
24.02.24,101756,+153
23.02.24,101603,-33
22.02.24,101636,+284
21.02.24,101352,+244
20.02.24,101108,+468
19.02.24,100640,+88
18.02.24,100552,+102
17.02.24,100450,+140
16.02.24,100310,+85
15.02.24,100225,+111
14.02.24,100114,+69
13.02.24,100045,+34
12.02.24,100011,+90
11.02.24,99921,+60
10.02.24,99861,-5
09.02.24,99866,+112
08.02.24,99754,-14
07.02.24,99768,-47
06.02.24,99815,+97
05.02.24,99718,+126
04.02.24,99592,+103
03.02.24,99489,+82
02.02.24,99407,-3
01.02.24,99410,-26
31.01.24,99436,+237
30.01.24,99199,+99
29.01.24,99100,+87
28.01.24,99013,+75
27.01.24,98938,+77
26.01.24,98861,+106
25.01.24,98755,+320
24.01.24,98435,+163
23.01.24,98272,+272
22.01.24,98000,+37
21.01.24,97963,+99
20.01.24,97864,+143
19.01.24,97721,+184
18.01.24,97537,+141
17.01.24,97396,-65
16.01.24,97461,+28
15.01.24,97433,+225
14.01.24,97208,+159
13.01.24,97049,+135
12.01.24,96914,+247
11.01.24,96667,+773
10.01.24,95894,+660
09.01.24,95234,+89
08.01.24,95145,+141
07.01.24,95004,+103
06.01.24,94901,+440
05.01.24,94461,+117
04.01.24,94344,-43
03.01.24,94387,-28
02.01.24,94415,+99
01.01.24,94316,+136
31.12.23,94180,+55
30.12.23,94125,-6
29.12.23,94131,-18
28.12.23,94149,+65
27.12.23,94084,+126
26.12.23,93958,+74
